### 1. Gün Kahvaltı			
			
- **Ünal Olgunlaştırılmış Tam Yağlı İnek Peyniri** 600 g 	 239,00 TL 	 100 g 	 39,83 TL
- **Lio Az Tuzlu Salamura Zeytin (291-320)** 800 g 	 99,90 TL 	 100 g 	 12,48 TL
- **Bal (Yayla Balı)** 500 g 	 89,90 TL 	 50 g 	 8,99 TL
- **Tereyağ (Doğal)** 500 g 	 149,90 TL 	 50 g 	 14,99 TL
- **Kaşar Peynir (Olgunlaştırılmış)** 700 g 	 189,90 TL 	 100 g 	 27,13 TL
- **Yumurta (30'lu Paket)** 30’lu Paket 	 59,90 TL 	 5 adet 	 9,98 TL
- **Tam Buğday Ekmek** 1 adet 	 7,50 TL 	 2 adet 	 15,00 TL
- **Süt (Pastörize)** 1 Litre 	 29,90 TL 	 1 Litre 	 29,90 TL
			
### 1. Gün Öğlen Yemeği			
			
- **Tavuk Göğsü (Parçalanmış)** 1 kg 	 89,90 TL 	 600 g 	 53,94 TL
- **Kuru Soğan (Orta Boy)** 1 kg 	 18,75 TL 	 200 g 	 3,75 TL
- **Domates (Yerli)** 1 kg 	 24,90 TL 	 300 g 	 7,47 TL
- **Yeşil Biber (Tatli)** 1 kg 	 34,90 TL 	 200 g 	 6,98 TL
- **Pirinç (Baldo)** 1 kg 	 39,90 TL 	 300 g 	 11,97 TL
- **Tereyağ (Doğal)** 500 g 	 149,90 TL 	 50 g 	 14,99 TL
- **Yoğurt (Ev Yapımı)** 1 kg 	 44,90 TL 	 500 g 	 22,45 TL
			
### 1. Gün Akşam Yemeği			
			
- **Dana Kıyma** 1 kg 	 259,90 TL 	 500 g 	 129,95 TL
- **Patlıcan (Orta Boy)** 1 kg 	 24,90 TL 	 800 g 	 19,92 TL
- **Kuru Soğan (Orta Boy)** 1 kg 	 18,75 TL 	 200 g 	 3,75 TL
- **Domates (Yerli)** 1 kg 	 24,90 TL 	 300 g 	 7,47 TL
- **Pirinç (Baldo)** 1 kg 	 39,90 TL 	 200 g 	 7,98 TL
- **Küşnüzümü** 250 g 	 49,90 TL 	 50 g 	 9,98 TL
- **Tereyağ (Doğal)** 500 g 	 149,90 TL 	 50 g 	 14,99 TL
- **Yoğurt (Ev Yapımı)** 1 kg 	 44,90 TL 	 500 g 	 22,45 TL
- **Salatalık (Yerli)** 1 kg 	 29,90 TL 	 300 g 	 8,97 TL
			
### 2. Gün Kahvaltı			
			
- **Ezine Tam Yağlı Beyaz Peynir** 600 g 	 229,90 TL 	 100 g 	 38,32 TL
- **Siyah Zeytin (Sele)** 500 g 	 79,90 TL 	 100 g 	 15,98 TL
- **Kayısı Reçeli** 450 g 	 89,90 TL 	 50 g 	 9,99 TL
- **Tereyağ (Doğal)** 500 g 	 149,90 TL 	 50 g 	 14,99 TL
- **Kaşar Peynir (Olgunlaştırılmış)** 700 g 	 189,90 TL 	 100 g 	 27,13 TL
- **Yumurta (30'lu Paket)** 30’lu Paket 	 59,90 TL 	 5 adet 	 9,98 TL
- **Tam Buğday Ekmek** 1 adet 	 7,50 TL 	 2 adet 	 15,00 TL
- **Süt (Pastörize)** 1 Litre 	 29,90 TL 	 1 Litre 	 29,90 TL
			
### 2. Gün Öğlen Yemeği			
			
- **Dana Kuşbaşı** 1 kg 	 299,90 TL 	 500 g 	 149,95 TL
- **Nohut (Yerli)** 1 kg 	 44,90 TL 	 300 g 	 13,47 TL
- **Kuru Soğan (Orta Boy)** 1 kg 	 18,75 TL 	 200 g 	 3,75 TL
- **Domates (Yerli)** 1 kg 	 24,90 TL 	 200 g 	 4,98 TL
- **Pirinç (Baldo)** 1 kg 	 39,90 TL 	 300 g 	 11,97 TL
- **Tereyağ (Doğal)** 500 g 	 149,90 TL 	 50 g 	 14,99 TL
- **Ayran (Hazır)** 2 Litre 	 59,90 TL 	 2 Litre 	 59,90 TL
			
### 2. Gün Akşam Yemeği			
			
- **Makarna (Durum Buğdayı)** 500 g 	 24,90 TL 	 500 g 	 24,90 TL
- **Domates Salçası** 500 g 	 39,90 TL 	 50 g 	 3,99 TL
- **Dana Kıyma** 1 kg 	 259,90 TL 	 300 g 	 77,97 TL
- **Kuru Soğan (Orta Boy)** 1 kg 	 18,75 TL 	 200 g 	 3,75 TL
- **Yoğurt (Ev Yapımı)** 1 kg 	 44,90 TL 	 500 g 	 22,45 TL
			
### 3. Gün Kahvaltı			
			
- **Ezine Tam Yağlı Beyaz Peynir** 600 g 	 229,90 TL 	 100 g 	 38,32 TL
- **Siyah Zeytin (Sele)** 500 g 	 79,90 TL 	 100 g 	 15,98 TL
- **Bal (Yayla Balı)** 500 g 	 89,90 TL 	 50 g 	 8,99 TL
- **Tereyağ (Doğal)** 500 g 	 149,90 TL 	 50 g 	 14,99 TL
- **Kaşar Peynir (Olgunlaştırılmış)** 700 g 	 189,90 TL 	 100 g 	 27,13 TL
- **Yumurta (30'lu Paket)** 30’lu Paket 	 59,90 TL 	 5 adet 	 9,98 TL
- **Tam Buğday Ekmek** 1 adet 	 7,50 TL 	 2 adet 	 15,00 TL
- **Süt (Pastörize)** 1 Litre 	 29,90 TL 	 1 Litre 	 29,90 TL
			
### 3. Gün Öğlen Yemeği			
- **Fırında Tavuk Kanat**			
  - Tavuk Kanat: 1 kg 	 89,90 TL 	 600 g 	 53,94 TL
  - Patates: 1 kg 	 13,75 TL 	 500 g 	 6,88 TL
  - Havuç: 1 kg 	 14,90 TL 	 300 g 	 4,47 TL
- **Bulgur Pilavı**			
  - Bulgur: 1 kg 	 24,90 TL 	 300 g 	 7,47 TL
  - Tereyağ: 500 g 	 149,90 TL 	 50 g 	 14,99 TL
- **Cacık**			
  - Yoğurt: 1 kg 	 44,90 TL 	 500 g 	 22,45 TL
  - Salatalık: 1 kg 	 29,90 TL 	 300 g 	 8,97 TL
			
### 3. Gün Akşam Yemeği			
- **Kıymalı Taze Fasulye**			
  - Dana Kıyma: 1 kg 	 259,90 TL 	 500 g 	 129,95 TL
  - Taze Fasulye: 1 kg 	 24,90 TL 	 600 g 	 14,94 TL
  - Domates Salçası: 500 g 	 39,90 TL 	 30 g 	 2,39 TL
  - Soğan: 1 kg 	 18,75 TL 	 200 g 	 3,75 TL
- **Pirinç Pilavı**			
  - Pirinç: 1 kg 	 39,90 TL 	 300 g 	 11,97 TL
  - Tereyağ: 500 g 	 149,90 TL 	 50 g 	 14,99 TL
			
### 4. Gün Kahvaltı			
			
- **Ezine Tam Yağlı Beyaz Peynir** 600 g 	 229,90 TL 	 100 g 	 38,32 TL
- **Siyah Zeytin (Sele)** 500 g 	 79,90 TL 	 100 g 	 15,98 TL
- **Kayısı Reçeli** 450 g 	 89,90 TL 	 50 g 	 9,99 TL
- **Tereyağ (Doğal)** 500 g 	 149,90 TL 	 50 g 	 14,99 TL
- **Kaşar Peynir (Olgunlaştırılmış)** 700 g 	 189,90 TL 	 100 g 	 27,13 TL
- **Yumurta (30'lu Paket)** 30’lu Paket 	 59,90 TL 	 5 adet 	 9,98 TL
- **Tam Buğday Ekmek** 1 adet 	 7,50 TL 	 2 adet 	 15,00 TL
- **Süt (Pastörize)** 1 Litre 	 29,90 TL 	 1 Litre 	 29,90 TL
			
### 4. Gün Öğlen Yemeği			
			
- **Tavuk Kalça Şiş** 1 kg 	 69,90 TL 	 600 g 	 41,94 TL
- **Pilavlı Şakşuka**			
  - Patlıcan: 1 kg 	 24,90 TL 	 500 g 	 12,45 TL
  - Domates: 1 kg 	 24,90 TL 	 300 g 	 7,47 TL
  - Yeşil Biber: 1 kg 	 34,90 TL 	 200 g 	 6,98 TL
  - Soğan: 1 kg 	 18,75 TL 	 200 g 	 3,75 TL
- **Ayran**: 2 Litre 	 59,90 TL 	 2 Litre 	 59,90 TL
			
### 4. Gün Akşam Yemeği			
			
- **Izgara Köfte**			
  - Kıyma: 1 kg 	 259,90 TL 	 500 g 	 129,95 TL
  - Baharatlar (Kırmızı biber, Kimyon): 50 g 	 29,90 TL 	 5 g 	 2,99 TL
  - Soğan: 1 kg 	 18,75 TL 	 200 g 	 3,75 TL
- **Pirinç Pilavı**			
  - Pirinç: 1 kg 	 39,90 TL 	 300 g 	 11,97 TL
  - Tereyağ: 500 g 	 149,90 TL 	 50 g 	 14,99 TL
- **Mevsim Salata**			
  - Marul: 1 adet 	 14,90 TL 	 1 adet 	 14,90 TL
  - Domates: 1 kg 	 24,90 TL 	 300 g 	 7,47 TL
  - Salatalık: 1 kg 	 29,90 TL 	 300 g 	 8,97 TL
			
### 5. Gün Kahvaltı			
			
- **Ezine Tam Yağlı Beyaz Peynir** 600 g 	 229,90 TL 	 100 g 	 38,32 TL
- **Siyah Zeytin (Sele)** 500 g 	 79,90 TL 	 100 g 	 15,98 TL
- **Kayısı Reçeli** 450 g 	 89,90 TL 	 50 g 	 9,99 TL
- **Tereyağ (Doğal)** 500 g 	 149,90 TL 	 50 g 	 14,99 TL
- **Kaşar Peynir (Olgunlaştırılmış)** 700 g 	 189,90 TL 	 100 g 	 27,13 TL
- **Yumurta (30'lu Paket)** 30’lu Paket 	 59,90 TL 	 5 adet 	 9,98 TL
- **Tam Buğday Ekmek** 1 adet 	 7,50 TL 	 2 adet 	 15,00 TL
- **Süt (Pastörize)** 1 Litre 	 29,90 TL 	 1 Litre 	 29,90 TL
			
### 5. Gün Öğlen Yemeği			
			
- **Tavuk Göğsü (Parçalanmış)** 1 kg 	 89,90 TL 	 600 g 	 53,94 TL
- **Pirinç Pilavı**			
  - Pirinç: 1 kg 	 39,90 TL 	 300 g 	 11,97 TL
  - Tereyağ: 500 g 	 149,90 TL 	 50 g 	 14,99 TL
- **Kırmızı Mercimek Çorbası**			
  - Kırmızı Mercimek: 1 kg 	 29,90 TL 	 200 g 	 5,98 TL
  - Soğan: 1 kg 	 18,75 TL 	 100 g 	 1,87 TL
